料理名,画像ファイル名
焼き魚,101_yakizakana.png
煮魚,102_nizakana.png
干し魚,103_hoshizakana.png
貝の煮込み,104_kai_nikomi.png
縄文クッキー,105_jomon_cookie.png
焼き鹿肉,106_yaki_shikaniku.png
鹿肉煮込み,107_shikaniku_nikomi.png
干し肉,108_hoshiniku.png
粥,202_kayu.png
なれずし,203_narezushi.png
どぶろく,204_doburoku.png
干し米,205_hoshigome.png
蒸し大豆,206_mushi_daizu.png
魚の切り身焼き,207_kirimi_yaki.png
ご飯,301_gohan.png
あつもの,302_atsumono.png
魚の塩漬け,303_shiozuke.png
餅,304_mochi.png
味噌汁,401_miso_soup.png
精進料理,402_shojin_ryori.png
煮物,403_nimono.png
漬物,404_tsukemono.png
うどん,405_udon.png
串団子,406_kushi_dango.png
本膳料理,501_honzen_ryori.png
茶懐石,502_cha_kaiseki.png
南蛮漬け,503_nanban_zuke.png
刺身,504_sashimi.png
南蛮菓子,505_nanban_gashi.png
日本酒,506_sake.png
寿司,601_sushi.png
天ぷら,602_tempura.png
屋台そば,603_yatai_soba.png
鍋料理,604_nabe_ryori.png
うなぎ蒲焼き,605_unagi_kabayaki.png
和菓子,606_wagashi.png
牛鍋,701_gyunabe.png
カレーライス,702_curry_rice.png
コロッケ,703_korokke.png
とんかつ,704_tonkatsu.png
オムライス,705_omurice.png
ハヤシライス,706_hayashi_rice.png
洋菓子,707_western_sweets.png
ラーメン,801_ramen.png
ハンバーガー,802_hamburger.png
お好み焼き,803_okonomiyaki.png
スパゲッティ,804_spaghetti.png
中華料理,805_chuka_ryori.png
唐揚げ,806_karaage.png
ピザ,807_pizza.png
丼物,808_donburi.png
